m, None
1.114999999999999912e-06,3.105603499999999850e-01
1.115499999999999950e-06,2.256054700000000024e-01
1.116000000000000199e-06,1.918876899999999996e-01
1.116500000000000025e-06,1.106221800000000005e-01
1.117000000000000063e-06,9.930234999999999757e-02
1.117499999999999889e-06,1.910709399999999947e-01
1.118000000000000138e-06,2.447894700000000090e-01
1.118499999999999964e-06,1.819302299999999983e-01
1.119000000000000001e-06,1.102844800000000042e-01
1.119500000000000039e-06,1.062495299999999948e-01
1.120000000000000076e-06,1.161899900000000069e-01
1.120500000000000114e-06,1.500864299999999929e-01
1.120999999999999940e-06,1.843749299999999924e-01
1.121499999999999977e-06,1.359462700000000079e-01
1.122000000000000015e-06,5.703077000000000146e-02
1.122500000000000052e-06,4.477612000000000259e-02
1.123000000000000090e-06,9.122149999999999703e-02
1.123499999999999916e-06,1.205783200000000027e-01
1.124000000000000165e-06,1.362509000000000081e-01
1.124499999999999991e-06,1.497424199999999872e-01
1.125000000000000029e-06,1.031596699999999950e-01
1.125499999999999854e-06,4.365477000000000246e-02
1.125999999999999892e-06,5.183958000000000316e-02
1.126500000000000141e-06,1.114252700000000068e-01
1.126999999999999967e-06,1.335124199999999928e-01
1.127500000000000005e-06,8.771967999999999432e-02
1.127999999999999830e-06,6.813877999999999602e-02
1.128500000000000080e-06,8.221613999999999312e-02
1.128999999999999906e-06,7.138292999999999722e-02
1.129499999999999943e-06,4.718644999999999784e-02
1.129999999999999981e-06,7.833943000000000156e-02
1.130500000000000018e-06,1.953164000000000011e-01
1.131000000000000056e-06,2.929621299999999873e-01
1.131499999999999882e-06,3.120525199999999999e-01
1.131999999999999919e-06,2.670172800000000235e-01
1.132499999999999957e-06,1.909320100000000131e-01
1.132999999999999994e-06,1.268143999999999938e-01
1.133500000000000032e-06,6.452937000000000256e-02
1.133999999999999858e-06,2.469837000000000074e-02
1.134500000000000107e-06,1.105038000000000027e-02
1.134999999999999933e-06,2.965191999999999828e-02
1.135499999999999970e-06,7.156870999999999372e-02
1.135999999999999796e-06,1.108052800000000060e-01
1.136500000000000045e-06,2.104867800000000122e-01
1.137000000000000083e-06,2.953562399999999921e-01
1.137499999999999909e-06,2.837150399999999739e-01
1.137999999999999946e-06,2.415448699999999949e-01
1.138499999999999984e-06,2.574488500000000069e-01
1.139000000000000022e-06,3.694319999999999826e-01
1.139500000000000059e-06,3.796457100000000251e-01
1.139999999999999885e-06,2.936540499999999998e-01
1.140500000000000134e-06,2.613396599999999736e-01
1.140999999999999960e-06,2.111371300000000062e-01
1.141499999999999998e-06,1.989180600000000076e-01
1.141999999999999823e-06,2.569990200000000224e-01
1.142500000000000073e-06,3.053763199999999789e-01
1.143000000000000110e-06,3.325996399999999742e-01
1.143499999999999936e-06,2.781768099999999966e-01
1.143999999999999974e-06,1.503048499999999899e-01
1.144500000000000011e-06,9.339119999999999366e-02
1.145000000000000049e-06,1.055937599999999948e-01
1.145499999999999875e-06,1.162238000000000021e-01
1.145999999999999912e-06,1.134481999999999990e-01
1.146500000000000161e-06,7.994874000000000425e-02
1.146999999999999987e-06,5.174294000000000116e-02
1.147500000000000025e-06,1.343737399999999915e-01
