m, W/sr m3
1.112999999999999974e-06,1.731550400000001304e+06
1.113500000000000012e-06,1.622435787500000559e+06
1.114000000000000049e-06,1.582279099999999162e+06
1.114500000000000087e-06,1.617946924999999115e+06
1.114999999999999912e-06,1.566347375000004657e+06
1.115499999999999950e-06,1.431035787499993807e+06
1.116000000000000199e-06,1.247339599999992875e+06
1.116500000000000025e-06,1.120368049999997951e+06
1.117000000000000063e-06,1.053528899999998510e+06
1.117499999999999889e-06,1.137893750000001630e+06
1.118000000000000138e-06,1.189049200000000186e+06
1.118499999999999964e-06,1.196613900000000140e+06
1.119000000000000001e-06,1.100521875000000466e+06
1.119500000000000039e-06,1.045958474999999977e+06
1.120000000000000076e-06,1.052161000000000000e+06
1.120500000000000114e-06,1.096236574999998789e+06
1.120999999999999940e-06,1.095194000000002095e+06
1.121499999999999977e-06,1.025366000000002561e+06
1.122000000000000015e-06,9.090060249999949010e+05
1.122500000000000052e-06,8.326959124999998603e+05
1.123000000000000090e-06,8.278727549999998882e+05
1.123499999999999916e-06,9.075054275000018533e+05
1.124000000000000165e-06,9.788326000000004424e+05
1.124499999999999991e-06,1.014450831250000279e+06
1.125000000000000029e-06,9.343600000000000000e+05
1.125499999999999854e-06,8.534388312500001630e+05
1.125999999999999892e-06,8.106129750000005588e+05
1.126500000000000141e-06,8.616929562499985332e+05
1.126999999999999967e-06,9.105724874999999302e+05
1.127500000000000005e-06,9.114089687500000000e+05
1.127999999999999830e-06,8.927981599999989849e+05
1.128500000000000080e-06,8.695400774999990826e+05
1.128999999999999906e-06,8.466965349999993341e+05
1.129499999999999943e-06,8.516427575000002980e+05
1.129999999999999981e-06,9.075190250000030501e+05
1.130500000000000018e-06,1.082739033750001807e+06
1.131000000000000056e-06,1.260136600000000559e+06
1.131499999999999882e-06,1.390590974999999860e+06
1.131999999999999919e-06,1.370184800000000279e+06
1.132499999999999957e-06,1.238638750000003027e+06
1.132999999999999994e-06,1.059832050000004703e+06
1.133500000000000032e-06,8.603064750000061467e+05
1.133999999999999858e-06,7.022235600000052946e+05
1.134500000000000107e-06,5.888364637500001118e+05
1.134999999999999933e-06,5.907349125000000931e+05
1.135499999999999970e-06,7.041804950000045355e+05
1.135999999999999796e-06,8.776910100000043167e+05
1.136500000000000045e-06,1.087499683750002878e+06
1.137000000000000083e-06,1.232086925000000745e+06
1.137499999999999909e-06,1.325500312500000000e+06
1.137999999999999946e-06,1.317955449999999953e+06
1.138499999999999984e-06,1.336438699999999488e+06
1.139000000000000022e-06,1.372981424999998882e+06
1.139500000000000059e-06,1.430159712499998510e+06
1.139999999999999885e-06,1.399562000000003027e+06
1.140500000000000134e-06,1.310041862499995390e+06
1.140999999999999960e-06,1.204909724999995902e+06
1.141499999999999998e-06,1.181946137500001118e+06
1.141999999999999823e-06,1.222683950000002282e+06
1.142500000000000073e-06,1.322076437500001630e+06
1.143000000000000110e-06,1.344628349999999627e+06
1.143499999999999936e-06,1.299507524999999441e+06
1.143999999999999974e-06,1.116830600000000559e+06
1.144500000000000011e-06,9.831505912500009872e+05
1.145000000000000049e-06,8.945379624999999069e+05
1.145499999999999875e-06,9.006194787499998929e+05
1.145999999999999912e-06,8.819934050000013085e+05
1.146500000000000161e-06,8.393050887500016252e+05
1.146999999999999987e-06,8.499110925000004936e+05
1.147500000000000025e-06,9.337507375000056345e+05
1.147999999999999851e-06,1.095954040000004461e+06
1.148500000000000100e-06,1.192276600000001956e+06
1.148999999999999926e-06,1.206493824999998789e+06
1.149499999999999963e-06,1.125775037499999395e+06
1.150000000000000001e-06,1.072725000000000000e+06
1.150500000000000038e-06,1.074152987499999581e+06
1.151000000000000076e-06,1.144847224999998929e+06
1.151499999999999902e-06,1.174420399999999441e+06
1.151999999999999939e-06,1.182335600000000559e+06
1.152499999999999977e-06,1.164005750000000698e+06
1.153000000000000015e-06,1.172930900000000605e+06
1.153500000000000052e-06,1.173267387499999255e+06
1.153999999999999878e-06,1.154732549999999348e+06
1.154500000000000127e-06,1.182412962500000838e+06
1.154999999999999953e-06,1.230922875000001164e+06
1.155499999999999991e-06,1.304434037500000792e+06
1.155999999999999816e-06,1.366851600000000093e+06
1.156500000000000066e-06,1.420964412499999860e+06
1.157000000000000103e-06,1.462550424999999581e+06
1.157499999999999929e-06,1.474502062500000000e+06
1.157999999999999967e-06,1.485515249999999534e+06
1.158500000000000004e-06,1.508692062499999302e+06
1.159000000000000042e-06,1.516064975000000093e+06
1.159500000000000079e-06,1.513050987499999348e+06
1.159999999999999905e-06,1.494066499999999302e+06
1.160500000000000154e-06,1.513175250000000931e+06
1.160999999999999980e-06,1.549758475000001024e+06
1.161500000000000018e-06,1.604185962500000605e+06
1.161999999999999844e-06,1.667365050000000279e+06
1.162500000000000093e-06,1.734086562500000000e+06
1.163000000000000131e-06,1.802757374999999302e+06
1.163499999999999956e-06,1.831916949999999721e+06
1.163999999999999994e-06,1.836828000000000698e+06
1.164500000000000031e-06,1.807534625000000698e+06
1.165000000000000069e-06,1.754945125000002095e+06
1.165499999999999895e-06,1.697256224999998230e+06
1.165999999999999932e-06,1.660900699999998324e+06
1.166500000000000182e-06,1.678023775000001304e+06
1.167000000000000008e-06,1.722208900000001304e+06
1.167500000000000045e-06,1.773072250000001164e+06
1.167999999999999871e-06,1.805544500000000466e+06
1.168500000000000120e-06,1.830084412500000093e+06
1.168999999999999946e-06,1.866856524999999907e+06
1.169499999999999984e-06,1.892279474999999860e+06
1.170000000000000021e-06,1.907304500000000233e+06
1.170500000000000059e-06,1.894119175000000279e+06
1.171000000000000096e-06,1.898956499999999534e+06
1.171499999999999922e-06,1.915093074999999721e+06
1.171999999999999960e-06,1.924469600000000559e+06
1.172499999999999997e-06,1.905237124999998836e+06
1.173000000000000035e-06,1.862412849999997765e+06
1.173500000000000072e-06,1.782018074999998324e+06
1.173999999999999898e-06,1.727936149999999441e+06
1.174500000000000147e-06,1.698873550000000512e+06
1.174999999999999973e-06,1.758412500000000000e+06
1.175500000000000011e-06,1.828581349999999395e+06
1.175999999999999837e-06,1.907306999999999767e+06
1.176500000000000086e-06,1.922978624999999767e+06
1.177000000000000124e-06,1.884070375000002561e+06
1.177499999999999949e-06,1.791197812500003260e+06
1.177999999999999987e-06,1.759718399999998510e+06
1.178500000000000024e-06,1.772432512500002282e+06
1.179000000000000062e-06,1.832718675000001909e+06
1.179499999999999888e-06,1.853159612500000512e+06
1.179999999999999925e-06,1.868633000000000233e+06
1.180500000000000175e-06,1.879814737500000047e+06
1.181000000000000001e-06,1.809038124999999767e+06
1.181500000000000038e-06,1.714934425000000512e+06
1.181999999999999864e-06,1.596583900000001304e+06
1.182500000000000113e-06,1.629353312499999302e+06
1.183000000000000151e-06,1.692826849999997765e+06
1.183499999999999977e-06,1.781315324999997159e+06
1.184000000000000014e-06,1.756647700000001583e+06
1.184500000000000052e-06,1.723840024999999208e+06
1.185000000000000089e-06,1.700048249999999302e+06
1.185499999999999915e-06,1.765646725000002189e+06
1.185999999999999953e-06,1.827891900000000605e+06
1.186500000000000202e-06,1.859327725000000326e+06
1.187000000000000028e-06,1.788969624999999302e+06
1.187500000000000065e-06,1.698543437500000000e+06
1.187999999999999891e-06,1.605842800000000745e+06
1.188499999999999929e-06,1.614978349999999627e+06
1.188999999999999966e-06,1.665787649999998044e+06
1.189500000000000004e-06,1.759857074999997625e+06
1.190000000000000041e-06,1.799315999999999302e+06
